seed,lambda_eff,axis_C,dense_C,axis_class,dense_class,axis_det_label,dense_det_label,axis_det_cov,dense_det_cov,axis_det_ind,dense_det_ind,axis_decoder_cosine,dense_decoder_cosine,axis_recovered,dense_recovered,delta_ind_dense_minus_axis,delta_decoder_cosine_dense_minus_axis,detector_class_flip,recovery_agrees
20260824,0.35,0.0,0.875,cov_not_ind,visible,1.0,1.0,0.7975,0.78,0.0625,0.755,0.7919602394104004,0.6641249298496679,0,0,0.6925,-0.12783530956073252,1,1
20260824,0.55,0.0,0.875,cov_not_ind,visible,1.0,1.0,1.0,1.0,0.0675,1.0,0.9177796840667725,0.9672028753446583,1,1,0.9325,0.04942319127788586,1,1
20260824,0.8,0.0,0.875,cov_not_ind,visible,1.0,1.0,1.0,1.0,0.1525,1.0,0.9955099821090698,0.9988784763202785,1,1,0.8475,0.0033684942112086613,1,1
20260825,0.35,0.0,0.875,cov_not_ind,visible,1.0,1.0,0.8575,0.83,0.08,0.8075,0.8898367881774902,0.9393743702124839,1,1,0.7275,0.0495375820349937,1,1
20260825,0.55,0.0,0.875,cov_not_ind,visible,1.0,1.0,1.0,1.0,0.0725,1.0,0.9837549924850464,0.9932215579232825,1,1,0.9275,0.009466565438236096,1,1
20260825,0.8,0.0,0.875,cov_not_ind,visible,1.0,1.0,1.0,1.0,0.1825,1.0,0.9952404499053955,0.9990186251282892,1,1,0.8175,0.0037781752228936982,1,1
20260826,0.35,0.0,0.875,cov_not_ind,visible,1.0,1.0,0.8325,0.825,0.065,0.8025,0.653859555721283,0.750504476873802,0,0,0.7375,0.09664492115251899,1,1
20260826,0.55,0.0,0.875,cov_not_ind,visible,1.0,1.0,1.0,1.0,0.065,1.0,0.9768949747085571,0.9874731229131014,1,1,0.935,0.01057814820454428,1,1
20260826,0.8,0.0,0.875,cov_not_ind,visible,1.0,1.0,1.0,1.0,0.12,1.0,0.9983287453651428,0.9932240235139205,1,1,0.88,-0.005104721851222349,1,1
20260827,0.35,0.0,0.875,cov_not_ind,visible,1.0,1.0,0.81,0.81,0.1025,0.81,0.7558383345603943,0.7774426892648256,0,0,0.7075,0.02160435470443134,1,1
20260827,0.55,0.0,0.875,cov_not_ind,visible,1.0,1.0,1.0,1.0,0.0825,1.0,0.9456971287727356,0.9940724922580053,1,1,0.9175,0.04837536348526972,1,1
20260827,0.8,0.0,0.875,cov_not_ind,visible,1.0,1.0,1.0,1.0,0.165,1.0,0.9948782920837402,0.9988739349973514,1,1,0.835,0.003995642913611208,1,1
20260828,0.35,0.0,0.875,cov_not_ind,visible,1.0,1.0,0.79,0.79,0.04,0.78,0.8125770688056946,0.7093356596474018,1,0,0.74,-0.10324140915829283,1,0
20260828,0.55,0.0,0.875,cov_not_ind,visible,1.0,1.0,1.0,1.0,0.075,1.0,0.9819784164428711,0.972694209310567,1,1,0.925,-0.009284207132304045,1,1
20260828,0.8,0.0,0.875,cov_not_ind,visible,1.0,1.0,1.0,1.0,0.0975,1.0,0.9978209137916565,0.9957822950716833,1,1,0.9025,-0.0020386187199732397,1,1
20260829,0.35,0.0,0.875,cov_not_ind,visible,1.0,1.0,0.845,0.815,0.0725,0.805,0.77607661485672,0.7355652460437913,0,0,0.7325,-0.040511368812928716,1,1
20260829,0.55,0.0,0.875,cov_not_ind,visible,1.0,1.0,1.0,1.0,0.1025,1.0,0.9921752214431763,0.9508373910451359,1,1,0.8975,-0.0413378303980404,1,1
20260829,0.8,0.0,0.875,cov_not_ind,visible,1.0,1.0,1.0,1.0,0.1675,1.0,0.9958915114402771,0.9986524322350023,1,1,0.8325,0.00276092079472523,1,1
20260830,0.35,0.0,0.875,cov_not_ind,visible,1.0,1.0,0.845,0.8225,0.07,0.79,0.6724616885185242,0.8975737844038871,0,1,0.72,0.22511209588536296,1,0
20260830,0.55,0.0,0.875,cov_not_ind,visible,1.0,1.0,1.0,1.0,0.0975,1.0,0.9737187027931213,0.9849856106456324,1,1,0.9025,0.011266907852511054,1,1
20260830,0.8,0.0,0.875,cov_not_ind,visible,1.0,1.0,1.0,1.0,0.145,1.0,0.9870743155479431,0.9985729222052866,1,1,0.855,0.01149860665734348,1,1
20260831,0.35,0.0,0.875,cov_not_ind,visible,1.0,1.0,0.8275,0.795,0.0475,0.7525,0.8252917528152466,0.8809020400296602,1,1,0.705,0.055610287214413634,1,1
20260831,0.55,0.0,0.875,cov_not_ind,visible,1.0,1.0,1.0,1.0,0.0875,1.0,0.9883937239646912,0.9748955602817152,1,1,0.9125,-0.013498163682975961,1,1
20260831,0.8,0.0,0.875,cov_not_ind,visible,1.0,1.0,1.0,1.0,0.12,1.0,0.9951210618019104,0.9981492199372066,1,1,0.88,0.0030281581352962217,1,1
