seed,geometry,lambda_eff,C,class,det_label,det_cov,det_ind,decoder_cosine,recovered
20260824,axis,0.35,0.0,cov_not_ind,1.0,0.7975,0.0625,0.7919602394104004,False
20260824,axis,0.55,0.0,cov_not_ind,1.0,1.0,0.0675,0.9177796840667725,True
20260824,axis,0.8,0.0,cov_not_ind,1.0,1.0,0.1525,0.9955099821090698,True
20260824,dense,0.35,0.875,visible,1.0,0.78,0.755,0.6641249298496679,False
20260824,dense,0.55,0.875,visible,1.0,1.0,1.0,0.9672028753446583,True
20260824,dense,0.8,0.875,visible,1.0,1.0,1.0,0.9988784763202785,True
20260825,axis,0.35,0.0,cov_not_ind,1.0,0.8575,0.08,0.8898367881774902,True
20260825,axis,0.55,0.0,cov_not_ind,1.0,1.0,0.0725,0.9837549924850464,True
20260825,axis,0.8,0.0,cov_not_ind,1.0,1.0,0.1825,0.9952404499053955,True
20260825,dense,0.35,0.875,visible,1.0,0.83,0.8075,0.9393743702124839,True
20260825,dense,0.55,0.875,visible,1.0,1.0,1.0,0.9932215579232825,True
20260825,dense,0.8,0.875,visible,1.0,1.0,1.0,0.9990186251282892,True
20260826,axis,0.35,0.0,cov_not_ind,1.0,0.8325,0.065,0.653859555721283,False
20260826,axis,0.55,0.0,cov_not_ind,1.0,1.0,0.065,0.9768949747085571,True
20260826,axis,0.8,0.0,cov_not_ind,1.0,1.0,0.12,0.9983287453651428,True
20260826,dense,0.35,0.875,visible,1.0,0.825,0.8025,0.750504476873802,False
20260826,dense,0.55,0.875,visible,1.0,1.0,1.0,0.9874731229131014,True
20260826,dense,0.8,0.875,visible,1.0,1.0,1.0,0.9932240235139205,True
20260827,axis,0.35,0.0,cov_not_ind,1.0,0.81,0.1025,0.7558383345603943,False
20260827,axis,0.55,0.0,cov_not_ind,1.0,1.0,0.0825,0.9456971287727356,True
20260827,axis,0.8,0.0,cov_not_ind,1.0,1.0,0.165,0.9948782920837402,True
20260827,dense,0.35,0.875,visible,1.0,0.81,0.81,0.7774426892648256,False
20260827,dense,0.55,0.875,visible,1.0,1.0,1.0,0.9940724922580053,True
20260827,dense,0.8,0.875,visible,1.0,1.0,1.0,0.9988739349973514,True
20260828,axis,0.35,0.0,cov_not_ind,1.0,0.79,0.04,0.8125770688056946,True
20260828,axis,0.55,0.0,cov_not_ind,1.0,1.0,0.075,0.9819784164428711,True
20260828,axis,0.8,0.0,cov_not_ind,1.0,1.0,0.0975,0.9978209137916565,True
20260828,dense,0.35,0.875,visible,1.0,0.79,0.78,0.7093356596474018,False
20260828,dense,0.55,0.875,visible,1.0,1.0,1.0,0.972694209310567,True
20260828,dense,0.8,0.875,visible,1.0,1.0,1.0,0.9957822950716833,True
20260829,axis,0.35,0.0,cov_not_ind,1.0,0.845,0.0725,0.77607661485672,False
20260829,axis,0.55,0.0,cov_not_ind,1.0,1.0,0.1025,0.9921752214431763,True
20260829,axis,0.8,0.0,cov_not_ind,1.0,1.0,0.1675,0.9958915114402771,True
20260829,dense,0.35,0.875,visible,1.0,0.815,0.805,0.7355652460437913,False
20260829,dense,0.55,0.875,visible,1.0,1.0,1.0,0.9508373910451359,True
20260829,dense,0.8,0.875,visible,1.0,1.0,1.0,0.9986524322350023,True
20260830,axis,0.35,0.0,cov_not_ind,1.0,0.845,0.07,0.6724616885185242,False
20260830,axis,0.55,0.0,cov_not_ind,1.0,1.0,0.0975,0.9737187027931213,True
20260830,axis,0.8,0.0,cov_not_ind,1.0,1.0,0.145,0.9870743155479431,True
20260830,dense,0.35,0.875,visible,1.0,0.8225,0.79,0.8975737844038871,True
20260830,dense,0.55,0.875,visible,1.0,1.0,1.0,0.9849856106456324,True
20260830,dense,0.8,0.875,visible,1.0,1.0,1.0,0.9985729222052866,True
20260831,axis,0.35,0.0,cov_not_ind,1.0,0.8275,0.0475,0.8252917528152466,True
20260831,axis,0.55,0.0,cov_not_ind,1.0,1.0,0.0875,0.9883937239646912,True
20260831,axis,0.8,0.0,cov_not_ind,1.0,1.0,0.12,0.9951210618019104,True
20260831,dense,0.35,0.875,visible,1.0,0.795,0.7525,0.8809020400296602,True
20260831,dense,0.55,0.875,visible,1.0,1.0,1.0,0.9748955602817152,True
20260831,dense,0.8,0.875,visible,1.0,1.0,1.0,0.9981492199372066,True
