pair_id,variant_id,objective_id,capacity_id,geometry,seed,train_seed,data_seed,validation_seed,target_cosine,recovered,certificate_pass,certificate_cosine_lower_bound,objective_loss
mse:d16-k2:axis:20261101,vanilla-random,mse,d16-k2,axis,20261101,2026920100,20261811000,20262011000,0.9331930875778198,1,1,0.8938612716982625,0.4241183400154114
mse:d16-k2:axis:20261101,spectral-warm-start,mse,d16-k2,axis,20261101,2026920100,20261811000,20262011000,0.9790177941322327,1,1,0.9448669922589982,0.40145689249038696
mse:d16-k2:dense:20261101,vanilla-random,mse,d16-k2,dense,20261101,2026920100,20261811001,20262011001,0.977610518017173,1,1,0.9428725443418751,0.4054689407348633
mse:d16-k2:dense:20261101,spectral-warm-start,mse,d16-k2,dense,20261101,2026920100,20261811001,20262011001,0.9862602525167912,1,1,0.9490090798469547,0.406995564699173
mse:d32-k4:axis:20261101,vanilla-random,mse,d32-k4,axis,20261101,2026920101,20261811010,20262011010,0.917428731918335,1,1,0.8855149046707899,0.11406247317790985
mse:d32-k4:axis:20261101,spectral-warm-start,mse,d32-k4,axis,20261101,2026920101,20261811010,20262011010,0.9611170291900635,1,1,0.9257607079948759,0.11823214590549469
mse:d32-k4:dense:20261101,vanilla-random,mse,d32-k4,dense,20261101,2026920101,20261811011,20262011011,0.6304879620583205,0,0,0.5746533697549954,0.10948044061660767
mse:d32-k4:dense:20261101,spectral-warm-start,mse,d32-k4,dense,20261101,2026920101,20261811011,20262011011,0.019537407386158785,0,0,0.0,0.12853658199310303
mse_l1:d16-k2:axis:20261101,vanilla-random,mse_l1,d16-k2,axis,20261101,2026920110,20261811100,20262011100,0.8533850908279419,1,1,0.8148708838909575,0.4043855369091034
mse_l1:d16-k2:axis:20261101,spectral-warm-start,mse_l1,d16-k2,axis,20261101,2026920110,20261811100,20262011100,0.9727519750595093,1,1,0.9369831645988839,0.3993195593357086
mse_l1:d16-k2:dense:20261101,vanilla-random,mse_l1,d16-k2,dense,20261101,2026920110,20261811101,20262011101,0.9623507352149098,1,1,0.9278133540240008,0.41085177659988403
mse_l1:d16-k2:dense:20261101,spectral-warm-start,mse_l1,d16-k2,dense,20261101,2026920110,20261811101,20262011101,0.9849096514879034,1,1,0.9475781535702846,0.38547489047050476
mse_l1:d32-k4:axis:20261101,vanilla-random,mse_l1,d32-k4,axis,20261101,2026920111,20261811110,20262011110,0.41722923517227173,0,0,0.34288642321921564,0.12097588181495667
mse_l1:d32-k4:axis:20261101,spectral-warm-start,mse_l1,d32-k4,axis,20261101,2026920111,20261811110,20262011110,0.9645350575447083,1,1,0.9299186385317574,0.12272441387176514
mse_l1:d32-k4:dense:20261101,vanilla-random,mse_l1,d32-k4,dense,20261101,2026920111,20261811111,20262011111,0.7269071934684929,0,0,0.6764586680180579,0.11651214212179184
mse_l1:d32-k4:dense:20261101,spectral-warm-start,mse_l1,d32-k4,dense,20261101,2026920111,20261811111,20262011111,0.9661190480617763,1,1,0.9313498956149678,0.11397990584373474
mse_l2:d16-k2:axis:20261101,vanilla-random,mse_l2,d16-k2,axis,20261101,2026920120,20261811200,20262011200,0.828285276889801,1,0,0.7799809719950282,0.5194154977798462
mse_l2:d16-k2:axis:20261101,spectral-warm-start,mse_l2,d16-k2,axis,20261101,2026920120,20261811200,20262011200,0.995753288269043,1,1,0.9606056773361938,0.4516906440258026
mse_l2:d16-k2:dense:20261101,vanilla-random,mse_l2,d16-k2,dense,20261101,2026920120,20261811201,20262011201,0.7865250720303922,0,0,0.7367195375519892,0.4867801368236542
mse_l2:d16-k2:dense:20261101,spectral-warm-start,mse_l2,d16-k2,dense,20261101,2026920120,20261811201,20262011201,0.7973001413793297,0,0,0.7480127659877495,0.48135292530059814
mse_l2:d32-k4:axis:20261101,vanilla-random,mse_l2,d32-k4,axis,20261101,2026920121,20261811210,20262011210,0.5325585007667542,0,0,0.4839535198007681,0.11338981240987778
mse_l2:d32-k4:axis:20261101,spectral-warm-start,mse_l2,d32-k4,axis,20261101,2026920121,20261811210,20262011210,0.923024594783783,1,1,0.8899111965396733,0.11641214787960052
mse_l2:d32-k4:dense:20261101,vanilla-random,mse_l2,d32-k4,dense,20261101,2026920121,20261811211,20262011211,0.6996292690820289,0,0,0.6459902012565639,0.10688198357820511
mse_l2:d32-k4:dense:20261101,spectral-warm-start,mse_l2,d32-k4,dense,20261101,2026920121,20261811211,20262011211,0.5096324804728237,0,0,0.41864455199493755,0.11113326996564865
mse:d16-k2:axis:20261102,vanilla-random,mse,d16-k2,axis,20261102,2026920200,20261812000,20262012000,0.7668033242225647,0,0,0.7100809509034383,0.3888147175312042
mse:d16-k2:axis:20261102,spectral-warm-start,mse,d16-k2,axis,20261102,2026920200,20261812000,20262012000,0.9898896217346191,1,1,0.9550178398446472,0.382523775100708
mse:d16-k2:dense:20261102,vanilla-random,mse,d16-k2,dense,20261102,2026920200,20261812001,20262012001,0.02451794360935639,0,0,0.0,0.40001481771469116
mse:d16-k2:dense:20261102,spectral-warm-start,mse,d16-k2,dense,20261102,2026920200,20261812001,20262012001,0.9714285025712922,1,1,0.9322895444255791,0.3703734576702118
mse:d32-k4:axis:20261102,vanilla-random,mse,d32-k4,axis,20261102,2026920201,20261812010,20262012010,0.6236207485198975,0,0,0.5613891859570092,0.10106189548969269
mse:d32-k4:axis:20261102,spectral-warm-start,mse,d32-k4,axis,20261102,2026920201,20261812010,20262012010,0.9966148138046265,1,1,0.9612423761785184,0.11331453919410706
mse:d32-k4:dense:20261102,vanilla-random,mse,d32-k4,dense,20261102,2026920201,20261812011,20262012011,0.946842702206561,1,1,0.9080805921370204,0.11013282835483551
mse:d32-k4:dense:20261102,spectral-warm-start,mse,d32-k4,dense,20261102,2026920201,20261812011,20262012011,0.9287754124578657,1,1,0.8923696832469081,0.11390341818332672
mse_l1:d16-k2:axis:20261102,vanilla-random,mse_l1,d16-k2,axis,20261102,2026920210,20261812100,20262012100,0.9916245937347412,1,1,0.9554306541215909,0.4350765347480774
mse_l1:d16-k2:axis:20261102,spectral-warm-start,mse_l1,d16-k2,axis,20261102,2026920210,20261812100,20262012100,0.9956909418106079,1,1,0.9606695948552896,0.4264669418334961
mse_l1:d16-k2:dense:20261102,vanilla-random,mse_l1,d16-k2,dense,20261102,2026920210,20261812101,20262012101,0.8591513975781621,1,1,0.8214405162336196,0.440131813287735
mse_l1:d16-k2:dense:20261102,spectral-warm-start,mse_l1,d16-k2,dense,20261102,2026920210,20261812101,20262012101,0.9979552179935107,1,1,0.9630691803116331,0.4254636764526367
mse_l1:d32-k4:axis:20261102,vanilla-random,mse_l1,d32-k4,axis,20261102,2026920211,20261812110,20262012110,0.6535661816596985,0,0,0.5740864859694826,0.11333826929330826
mse_l1:d32-k4:axis:20261102,spectral-warm-start,mse_l1,d32-k4,axis,20261102,2026920211,20261812110,20262012110,0.9769435524940491,1,1,0.9368165134040928,0.10920210182666779
mse_l1:d32-k4:dense:20261102,vanilla-random,mse_l1,d32-k4,dense,20261102,2026920211,20261812111,20262012111,0.8449525378807928,1,0,0.7994251783569842,0.1123107373714447
mse_l1:d32-k4:dense:20261102,spectral-warm-start,mse_l1,d32-k4,dense,20261102,2026920211,20261812111,20262012111,0.9930458793219769,1,1,0.9594900593215281,0.11910850554704666
mse_l2:d16-k2:axis:20261102,vanilla-random,mse_l2,d16-k2,axis,20261102,2026920220,20261812200,20262012200,0.8353016972541809,1,0,0.796872053190125,0.4039066731929779
mse_l2:d16-k2:axis:20261102,spectral-warm-start,mse_l2,d16-k2,axis,20261102,2026920220,20261812200,20262012200,0.9944419264793396,1,1,0.9582550238955904,0.4210256040096283
mse_l2:d16-k2:dense:20261102,vanilla-random,mse_l2,d16-k2,dense,20261102,2026920220,20261812201,20262012201,0.9345167931392773,1,1,0.8931094289386233,0.42013707756996155
mse_l2:d16-k2:dense:20261102,spectral-warm-start,mse_l2,d16-k2,dense,20261102,2026920220,20261812201,20262012201,0.9905977690895095,1,1,0.9555543719928803,0.44961604475975037
mse_l2:d32-k4:axis:20261102,vanilla-random,mse_l2,d32-k4,axis,20261102,2026920221,20261812210,20262012210,0.7067066431045532,0,0,0.6599964410931198,0.10825232416391373
mse_l2:d32-k4:axis:20261102,spectral-warm-start,mse_l2,d32-k4,axis,20261102,2026920221,20261812210,20262012210,0.9491210579872131,1,1,0.9092089882906083,0.11826574057340622
mse_l2:d32-k4:dense:20261102,vanilla-random,mse_l2,d32-k4,dense,20261102,2026920221,20261812211,20262012211,0.8766187460360955,1,1,0.8397150336294935,0.10553217679262161
mse_l2:d32-k4:dense:20261102,spectral-warm-start,mse_l2,d32-k4,dense,20261102,2026920221,20261812211,20262012211,0.9821963743580299,1,1,0.9469131618706302,0.10314629971981049
mse:d16-k2:axis:20261103,vanilla-random,mse,d16-k2,axis,20261103,2026920300,20261813000,20262013000,0.9781545996665955,1,1,0.9419073447017656,0.39593571424484253
