event,tokens,train_tokens,test_tokens,firing_rate,train_pos,test_pos,geometry,lambda_eff,evidence_proxy,log10_evidence_proxy,label_stat,label_z,full_cov_stat,full_cov_z,offdiag_cov_stat,offdiag_cov_z
determiner,10000,5000,5000,0.0821,420,401,0.9933287315070629,2.764577343184052,72530.05191662337,4.860517988327525,10.070695877075195,8.98793171889617,9.826866149902344,5.519079083386011,8.823284149169922,5.522835615483257
pronoun,10000,5000,5000,0.0204,102,102,0.9960983279161155,1.7028497544936876,10469.297675462263,4.01991754835488,12.045833587646484,11.899690884167846,5.12478494644165,0.9986442446220702,4.118697166442871,0.9994846310370101
preposition,10000,5000,5000,0.0611,302,309,0.9956033169291914,2.261978418832311,32579.93219599124,4.512950176137699,9.444047927856445,8.842190833257215,9.287797927856445,5.227266363984663,8.283574104309082,5.2297188362569065
conjunction,10000,5000,5000,0.0308,164,144,0.9955705655738711,2.1244824153189144,25350.972485943956,4.403994623913075,12.296204566955566,11.216337213862294,5.852588176727295,1.8636043608886423,4.847229957580566,1.8655220094746299
number_word,10000,5000,5000,0.0049,25,24,0.9960380760021508,1.0727046115661476,1648.566780652965,3.2171065443706808,15.362034797668457,12.481269472821007,3.741346836090088,-0.29286805205354194,2.736436367034912,-0.290435529263943
verb_ing,10000,5000,5000,0.0181,96,85,0.995969969779253,1.0249070295476126,1373.707104346964,3.137894144276846,7.687967777252197,11.828722071100742,5.034757614135742,1.0591891500229422,4.029545783996582,1.0610270418414576
verb_ed,10000,5000,5000,0.0371,195,176,0.9956654664129019,1.84279787799173,14352.721943118142,4.156934271298323,9.749899864196777,9.392409434449107,8.738245964050293,5.192143473247955,7.730255126953125,5.191966593508181
noun_suffix,10000,5000,5000,0.0154,77,77,0.9947151867672801,0.9929819798287071,1208.8550534751193,3.082374230348181,8.064010620117188,9.053051946983354,7.681569576263428,4.644703300471213,6.676490783691406,4.646802153959502
adj_suffix,10000,5000,5000,0.0264,140,124,0.9948362074792385,1.2305721026742444,2851.608217102747,3.4550898574918003,7.6756439208984375,9.633601962474408,6.7478790283203125,2.875674194695548,5.741137504577637,2.8763135644365563
proper_name_proxy,10000,5000,5000,0.1293,623,670,0.9957982548512518,2.6993258527760347,66084.95985519099,4.820102630512467,8.044920921325684,7.825847039822863,13.795900344848633,10.995635462174656,12.788000106811523,10.996545232408339
