event,tokens,train_tokens,test_tokens,firing_rate,train_pos,test_pos,geometry,lambda_eff,evidence_proxy,log10_evidence_proxy,label_stat,label_z,full_cov_stat,full_cov_z,offdiag_cov_stat,offdiag_cov_z
pos_noun,10000,5000,5000,0.3518,1732,1786,0.9924988998100162,3.2596103988372263,140056.35692882878,5.146302825522726,6.825952529907227,6.945570532828806,15.821489334106445,13.560338220860986,14.811958312988281,13.558404919333412
pos_proper_noun,10000,5000,5000,0.1897,911,986,0.994981687515974,3.2515821497375463,139028.55971099422,5.143104023641405,8.293505668640137,7.145339990066446,15.903097152709961,12.360324891358577,14.894966125488281,12.361960642458751
pos_plural_noun,10000,5000,5000,0.0529,279,250,0.9952955585904419,1.840892570805068,14288.145343679183,4.154975859352198,8.224370956420898,8.677928494870189,8.647032737731934,4.69668623151352,7.643853187561035,4.701306253039204
pos_verb,10000,5000,5000,0.1085,547,538,0.9948510900139809,2.313064314597086,35597.45313996986,4.5514189269946606,7.437246322631836,8.573712951321928,10.627461433410645,6.318259693992439,9.617145538330078,6.316488312275168
pos_past_verb,10000,5000,5000,0.0697,349,348,0.9952671909704804,2.1552588190287554,26844.01199150964,4.428847424148326,8.463919639587402,9.012468119934509,9.834660530090332,6.874611127006597,8.824727058410645,6.87074047752133
pos_gerund,10000,5000,5000,0.0123,67,56,0.9964307830668986,0.9057322710848548,838.2170998447557,2.923356516307499,8.217406272888184,10.319513899036092,5.47646427154541,1.575864712143595,4.4694061279296875,1.5759388753827994
pos_adjective,10000,5000,5000,0.0571,293,278,0.9948401651345193,1.6147773675461274,8455.006368463673,3.92711393905234,6.959239482879639,9.329260461654542,7.929789066314697,4.865345666160479,6.922244071960449,4.864751660610407
pos_adverb,10000,5000,5000,0.0196,93,103,0.9958196738734841,1.39133602494414,4664.647558839329,3.6688188358566802,10.03696346282959,11.821582306119494,5.602382659912109,1.7897976802525801,4.594673156738281,1.7891678847584604
pos_determiner,10000,5000,5000,0.0802,406,396,0.9932068204507232,2.7709124553302966,73188.17629845874,4.864440925551628,10.2020845413208,8.48529534630824,9.889924049377441,6.166922506377433,8.88624095916748,6.170194219578676
pos_preposition,10000,5000,5000,0.1043,513,530,0.9955891030840576,2.640489635829588,60496.188920615634,4.781728016257762,8.638951301574707,8.371574008342405,10.46351146697998,7.264110845680546,9.458953857421875,7.267916730563498
pos_pronoun,10000,5000,5000,0.0197,98,99,0.9959616204723716,1.7016707205251582,10438.899619233836,4.018654721417069,12.245116233825684,11.4176487105877,5.163599014282227,1.0749146554958513,4.158196926116943,1.0765058621068715
pos_cardinal,10000,5000,5000,0.0388,217,171,0.9962362751830369,2.722239456245258,68387.6470820439,4.834977661828317,14.0962495803833,7.635570845701188,10.651327133178711,7.442280805414372,9.650227546691895,7.448287428780848
pos_conjunction,10000,5000,5000,0.0279,147,132,0.9955305997282267,2.185543270275122,28392.410374288796,4.4532022635303345,13.270944595336914,11.377090834417292,5.742020130157471,2.043953535494616,4.736787796020508,2.045842602527263
