family,event,bank_event,tokens,train_tokens,test_tokens,firing_rate,train_pos,test_pos,geometry,lambda_eff,evidence_proxy,log10_evidence_proxy,label_stat,label_z,full_cov_stat,full_cov_z,offdiag_cov_stat,offdiag_cov_z,label_p_two_sided_normal,label_bh_q,full_cov_p_two_sided_normal,full_cov_bh_q,offdiag_cov_p_two_sided_normal,offdiag_cov_bh_q,label_fdr_005,full_cov_fdr_005,offdiag_cov_fdr_005
lexical,digit,lexical:digit,10000.0,5000.0,5000.0,0.0339,190.0,149.0,0.9962214594706893,2.8135318705999337,78032.09405767046,4.892273261734044,15.546797752380371,7.765306988447409,10.94405460357666,6.727390420634563,9.943229675292969,6.734255186176952,8.144770778323806e-15,1.0633450738367192e-14,1.7273282326477686e-11,4.7755545255555956e-11,1.6477177526941056e-11,4.5554549633307626e-11,True,True,True
lexical,punct,lexical:punct,10000.0,5000.0,5000.0,0.1552,767.0,785.0,0.9958501858636737,4.201712404884668,387979.97729516774,5.588809313288535,11.603887557983398,6.147405101511975,21.43349266052246,19.584576711645443,20.42436408996582,19.583152552746135,7.876079259951698e-10,8.047298374298475e-10,2.093393233182364e-85,4.919474097978555e-84,2.1527566587858855e-85,5.058978148146831e-84,True,True,True
lexical,comma_or_period,lexical:comma_or_period,10000.0,5000.0,5000.0,0.0903,443.0,460.0,0.9961288580670953,4.183227885934982,381304.2364284238,5.581271630469754,14.59548568725586,5.890672304275662,22.03932762145996,20.251343498198842,21.028728485107422,20.24631338080642,3.846275955338781e-09,3.846275955338781e-09,3.4568251828930834e-91,1.624707835959749e-89,3.828418496655633e-91,1.7993566934281476e-89,True,True,True
lexical,quote,lexical:quote,10000.0,5000.0,5000.0,0.0152,75.0,77.0,0.9953089179471135,2.0131593065027094,20435.274731781235,4.310380480740764,16.454410552978516,11.747017421106305,6.0084428787231445,2.0546370598578165,5.003330230712891,2.0568970893982743,7.3155568386492e-32,6.876623428330248e-31,0.0399140733419502,0.05065874912832804,0.03969612602579384,0.05042480873546785,True,False,False
lexical,capitalized,lexical:capitalized,10000.0,5000.0,5000.0,0.164,800.0,840.0,0.9955626241862774,2.8786978688515026,85460.01051619045,4.931762941922825,7.774474143981934,7.337844168697389,13.632893562316895,9.18898432616184,12.624139785766602,9.187506843963206,2.1706167996117627e-13,2.5504747395438213e-13,3.9656796888575606e-20,2.0709660597367262e-19,4.020514709429435e-20,2.0996021260353718e-19,True,True,True
lexical,common_the,lexical:common_the,10000.0,5000.0,5000.0,0.0569,294.0,275.0,0.9937763977795839,2.822851406086532,78877.06851705507,4.896950761586749,12.185770988464355,8.907289153044738,9.27947998046875,6.135280961234602,8.275493621826172,6.138585970839695,5.229553394702878e-19,1.0241208731293135e-18,8.500881921556393e-10,1.997707251565752e-09,8.325925056283919e-10,1.9565923882267207e-09,True,True,True
lexical,common_of,lexical:common_of,10000.0,5000.0,5000.0,0.0266,125.0,141.0,0.9953963430598378,2.0625510922268684,22517.74597956021,4.352524915591755,12.817939758300781,10.181561147396843,7.205965518951416,3.546831346010575,6.19779634475708,3.5461051632592575,2.3968480551240846e-24,8.665527583910151e-24,0.00038989410348591716,0.0005911297698012292,0.00039097014825507676,0.0005927611925157615,True,True,True
lexical,common_and,lexical:common_and,10000.0,5000.0,5000.0,0.0246,133.0,113.0,0.9955713977105916,2.163161278730817,27248.21298869466,4.43533802534303,13.96464729309082,11.338354045530968,5.6039228439331055,1.6637190650706535,4.5987138748168945,1.6658538950285058,8.472293516569391e-30,4.9774724409845173e-29,0.09616858448907845,0.10761722549968303,0.09574251849534565,0.10714043736383919,True,False,False
lexical,common_to,lexical:common_to,10000.0,5000.0,5000.0,0.0155,79.0,76.0,0.9953322876244783,1.4117972604605227,4942.736341979362,3.693967444715801,11.428747177124023,11.294713906879265,5.739278793334961,1.9033445876438326,4.732907295227051,1.903848814448851,1.3935711051441935e-29,7.277537993530788e-29,0.05699559640273651,0.06868700079304145,0.05692987697064246,0.06860780045179989,True,False,False
lexical,common_in,lexical:common_in,10000.0,5000.0,5000.0,0.0205,101.0,104.0,0.9953656936995685,2.0743907140935365,23038.538220703016,4.362454919941184,14.638999938964844,10.872540764670667,6.787476539611816,2.806512368115114,5.7817301750183105,2.8078964341737587,1.5580061449427716e-27,6.65693534657366e-27,0.005008098988174146,0.006922960366005437,0.004986626085770371,0.006893277236211983,True,True,True
