amp,p,lambda_eff,lambda_eff_fourth,log10_lambda_eff_fourth,state,recovered,transition_or_recovered,mean_signal_gain,mean_max_decoder_cosine,mean_best_atom_label_auc,mean_top_label_atom_abs_auc_excess,mean_top_label_atom_decoder_cosine
2.5,0.02,0.35355339059327373,0.015624999999999995,-1.8061799739838873,null,False,False,0.05099070759965347,0.12384954902033012,0.5148898279331494,0.003503061093924268,0.03558016630510489
2.5,0.05,0.5590169943749475,0.09765625000000001,-1.0102999566398119,null,False,False,0.053333272746298434,0.12967997851471105,0.500081142874999,-0.001548946563541533,0.045064792735502124
2.5,0.1,0.7905694150420949,0.3906250000000001,-0.4082399653118494,null,False,False,0.06370281499828685,0.14103201342125735,0.5059614029860161,0.005204726153477168,0.10977146277825038
3.0,0.02,0.4242640687119285,0.0324,-1.489454989793388,null,False,False,0.053209041129980685,0.1285243947058916,0.5038257821572288,-0.0036752148859855636,0.03398873439679543
3.0,0.05,0.6708203932499369,0.2025,-0.6935749724493127,null,False,False,0.059027339062930416,0.14111396732429662,0.5033181052180021,0.0060735466603343,0.060948396023983754
3.0,0.1,0.9486832980505138,0.8099999999999999,-0.09151498112135029,transition,False,True,0.4521378606142812,0.5968312981228033,0.7248209746579956,0.21113225569752245,0.5813231250892082
3.5,0.02,0.4949747468305833,0.06002500000000001,-1.221667831270935,null,False,False,0.053148703199135124,0.12354414847989877,0.5024900119133754,0.0016624337722238591,0.04585449971879522
3.5,0.05,0.7826237921249264,0.37515624999999997,-0.4257878139268599,transition,False,True,0.18721775517484393,0.2903092900911967,0.588373207777797,0.07427457075678574,0.2620070682217677
3.5,0.1,1.1067971810589328,1.500625,0.17627217740110257,recovered,True,True,0.8225646335101863,0.9164024976392587,0.9158959783555142,0.40015257006868676,0.9115004551907381
4.0,0.02,0.565685424949238,0.10239999999999999,-0.9897000433601881,null,False,False,0.05517691088862717,0.1318875253200531,0.5147902933452787,0.005237248140782756,0.07607224645713966
4.0,0.05,0.8944271909999159,0.6399999999999999,-0.1938200260161129,recovered,True,True,0.7627562155486349,0.8388067173461119,0.8918623109716773,0.3726756241447025,0.8324433714151382
4.0,0.1,1.2649110640673518,2.56,0.4082399653118496,recovered,True,True,0.9295237625412917,0.9887233823537827,0.976494581881905,0.45932284418008623,0.9887233823537827
4.5,0.02,0.6363961030678927,0.16402499999999998,-0.7850899535706629,transition,False,True,0.19199387377897967,0.2638466252634923,0.5860620747149626,0.07488299040841301,0.20042965941441557
4.5,0.05,1.0062305898749053,1.0251562499999998,0.01079006377341223,recovered,True,True,0.9331068883227477,0.9850573887427648,0.986878841806424,0.4637773109133134,0.9850573887427648
4.5,0.1,1.4230249470757708,4.100625000000001,0.6128500551013748,recovered,True,True,0.9514461861765087,0.9919819881518682,0.9895092043898166,0.47295198718647175,0.9919819881518682
5.0,0.02,0.7071067811865475,0.24999999999999992,-0.6020599913279625,transition,False,True,0.4857500504842502,0.5578160993754864,0.7633751042563156,0.23603868393009694,0.5223043639368067
5.0,0.05,1.118033988749895,1.5625000000000002,0.1938200260161129,recovered,True,True,0.9532753564622934,0.9891430338223776,0.9944395864787903,0.46983711584888205,0.9891430338223776
5.0,0.1,1.5811388300841898,6.250000000000002,0.7958800173440753,recovered,True,True,0.9625232812326239,0.9934001664320627,0.9944750529890151,0.4785156213175155,0.9934001664320627
