bank_event,family,event,geometry,l4_fourth_power,abs_offdiag_z,log10_evidence_proxy
pos_tagger:pos_noun,pos_tagger,pos_noun,0.9924988998100162,0.007501100189983845,13.558404919333412,5.146302825522726
pos_tagger:pos_determiner,pos_tagger,pos_determiner,0.9932068204507232,0.006793179549276829,6.170194219578676,4.864440925551628
linguistic:determiner,linguistic,determiner,0.9933287315070629,0.006671268492937088,5.522835615483257,4.860517988327525
lexical:common_the,lexical,common_the,0.9937763977795839,0.006223602220416069,6.138585970839695,4.896950761586749
linguistic:noun_suffix,linguistic,noun_suffix,0.9947151867672801,0.005284813232719898,4.646802153959502,3.082374230348181
linguistic:adj_suffix,linguistic,adj_suffix,0.9948362074792385,0.00516379252076149,2.8763135644365563,3.4550898574918003
pos_tagger:pos_adjective,pos_tagger,pos_adjective,0.9948401651345193,0.005159834865480661,4.864751660610407,3.92711393905234
pos_tagger:pos_verb,pos_tagger,pos_verb,0.9948510900139809,0.0051489099860191345,6.316488312275168,4.5514189269946606
pos_tagger:pos_proper_noun,pos_tagger,pos_proper_noun,0.994981687515974,0.005018312484025955,12.361960642458751,5.143104023641405
ner:ner_any,ner,ner_any,0.9950852990150452,0.004914700984954834,11.88888579885388,4.857768479905851
ner:ner_person_or_org,ner,ner_person_or_org,0.9951565363444388,0.004843463655561209,13.787969423712935,4.6629800196400195
pos_tagger:pos_past_verb,pos_tagger,pos_past_verb,0.9952671909704804,0.004732809029519558,6.87074047752133,4.428847424148326
pos_tagger:pos_plural_noun,pos_tagger,pos_plural_noun,0.9952955585904419,0.004704441409558058,4.701306253039204,4.154975859352198
lexical:quote,lexical,quote,0.9953089179471135,0.004691082052886486,2.0568970893982743,4.310380480740764
ner:ner_person,ner,ner_person,0.995319782756269,0.004680217243731022,8.918861021892065,4.190105862940451
lexical:common_to,lexical,common_to,0.9953322876244783,0.00466771237552166,1.903848814448851,3.693967444715801
lexical:common_in,lexical,common_in,0.9953656936995685,0.00463430630043149,2.8078964341737587,4.362454919941184
lexical:common_of,lexical,common_of,0.9953963430598378,0.004603656940162182,3.5461051632592575,4.352524915591755
pos_tagger:pos_conjunction,pos_tagger,pos_conjunction,0.9955305997282267,0.004469400271773338,2.045842602527263,4.4532022635303345
lexical:capitalized,lexical,capitalized,0.9955626241862774,0.0044373758137226105,9.187506843963206,4.931762941922825
linguistic:conjunction,linguistic,conjunction,0.9955705655738711,0.004429434426128864,1.8655220094746299,4.403994623913075
lexical:common_and,lexical,common_and,0.9955713977105916,0.004428602289408445,1.6658538950285058,4.43533802534303
ner:ner_organization,ner,ner_organization,0.9955736487172544,0.0044263512827456,11.542587642066325,4.115027355907094
pos_tagger:pos_preposition,pos_tagger,pos_preposition,0.9955891030840576,0.0044108969159424305,7.267916730563498,4.781728016257762
linguistic:preposition,linguistic,preposition,0.9956033169291914,0.004396683070808649,5.2297188362569065,4.512950176137699
linguistic:verb_ed,linguistic,verb_ed,0.9956654664129019,0.004334533587098122,5.191966593508181,4.156934271298323
linguistic:proper_name_proxy,linguistic,proper_name_proxy,0.9957982548512518,0.004201745148748159,10.996545232408339,4.820102630512467
pos_tagger:pos_adverb,pos_tagger,pos_adverb,0.9958196738734841,0.004180326126515865,1.7891678847584604,3.6688188358566802
semantic_cluster:semantic_cluster_06,semantic_cluster,semantic_cluster_06,0.9958237577229738,0.0041762422770261765,3.222661175743209,3.3534285349406074
semantic_cluster:semantic_cluster_02,semantic_cluster,semantic_cluster_02,0.995827759616077,0.004172240383923054,2.6275535405018307,2.7888834885099154
lexical:punct,lexical,punct,0.9958501858636737,0.004149814136326313,19.583152552746135,5.588809313288535
ner:ner_gpe,ner,ner_gpe,0.9958600932732224,0.0041399067267775536,8.101766112805807,3.4575903651527544
ner:ner_place_like,ner,ner_place_like,0.9958876217715442,0.004112378228455782,8.066313386167433,3.5000963742256626
semantic_cluster:semantic_cluster_00,semantic_cluster,semantic_cluster_00,0.9959080079570413,0.004091992042958736,2.4931342547557764,2.815513447364994
pos_tagger:pos_pronoun,pos_tagger,pos_pronoun,0.9959616204723716,0.004038379527628422,1.0765058621068715,4.018654721417069
linguistic:verb_ing,linguistic,verb_ing,0.995969969779253,0.004030030220746994,1.0610270418414576,3.137894144276846
linguistic:number_word,linguistic,number_word,0.9960380760021508,0.003961923997849226,0.290435529263943,3.2171065443706808
linguistic:pronoun,linguistic,pronoun,0.9960983279161155,0.0039016720838844776,0.9994846310370101,4.01991754835488
lexical:comma_or_period,lexical,comma_or_period,0.9961288580670953,0.0038711419329047203,20.24631338080642,5.581271630469754
semantic_cluster:semantic_cluster_03,semantic_cluster,semantic_cluster_03,0.9961634869687259,0.0038365130312740803,4.874962412855305,3.7186980871613815
lexical:digit,lexical,digit,0.9962214594706893,0.0037785405293107033,6.734255186176952,4.892273261734044
pos_tagger:pos_cardinal,pos_tagger,pos_cardinal,0.9962362751830369,0.0037637248169630766,7.448287428780848,4.834977661828317
semantic_cluster:semantic_cluster_01,semantic_cluster,semantic_cluster_01,0.9962679529562593,0.0037320470437407494,4.751411140724308,3.645428689707038
semantic_cluster:semantic_cluster_04,semantic_cluster,semantic_cluster_04,0.9962684512138367,0.00373154878616333,5.467234699756841,3.798976842445935
lexical:hyphen_piece,lexical,hyphen_piece,0.996346783824265,0.003653216175734997,8.426298684774409,5.034046338129511
semantic_cluster:semantic_cluster_05,semantic_cluster,semantic_cluster_05,0.9964040219783783,0.003595978021621704,4.881468501178819,3.8525170813103125
pos_tagger:pos_gerund,pos_tagger,pos_gerund,0.9964307830668986,0.0035692169331014156,1.5759388753827994,2.923356516307499
