direction_kind,direction_label,direction_seed,geometry,amp,p,n,lambda_eff,evidence_proxy,labeled_power,unlabeled_power,labeled_threshold,unlabeled_threshold,trials
axis,axis,0,0.0,0.7,0.05,8192,0.15256146302392357,0.0,1.0,0.05,0.08254402619843534,0.01608351392626377,400
k2,2-sparse,0,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,0.5547270400000001,1.0,0.165,0.08333634128292973,0.028308869726256666,400
k2,2-sparse,1,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,0.5547270400000001,1.0,0.1925,0.08438535841776997,0.028342470774071992,400
k2,2-sparse,2,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,0.5547270400000001,1.0,0.17,0.0790132308629069,0.021766285540284033,400
k2,2-sparse,3,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,0.5547270400000001,1.0,0.2,0.07790828385518588,0.021281218095962656,400
k2,2-sparse,4,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,0.5547270400000001,1.0,0.2025,0.07117691786500756,0.018040494508110037,400
k2,2-sparse,5,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,0.5547270400000001,1.0,0.1725,0.073645008456931,0.02445771157396537,400
k2,2-sparse,6,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,0.5547270400000001,1.0,0.2,0.0819994834424877,0.015137418942357289,400
k2,2-sparse,7,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,0.5547270400000001,1.0,0.1925,0.09118875755153642,0.026401405775690983,400
k2,2-sparse,8,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,0.5547270400000001,1.0,0.1875,0.07511872544800248,0.02881186225010823,400
k2,2-sparse,9,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,0.5547270400000001,1.0,0.1775,0.08443128990684666,0.02685173022625278,400
k2,2-sparse,10,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,0.5547270400000001,1.0,0.225,0.0776385088334609,0.033252400373456635,400
k2,2-sparse,11,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,0.5547270400000001,1.0,0.19,0.07832400653664728,0.01561021260407236,400
k4,4-sparse,0,0.75,0.7,0.05,8192,0.15256146302392357,0.8320905599999997,1.0,0.3,0.08272053887651833,0.0210835210624879,400
k4,4-sparse,1,0.75,0.7,0.05,8192,0.15256146302392357,0.8320905599999997,1.0,0.3175,0.0872818377491463,0.020502113730277185,400
k4,4-sparse,2,0.75,0.7,0.05,8192,0.15256146302392357,0.8320905599999997,1.0,0.2625,0.07310943139741993,0.03769751524367222,400
k4,4-sparse,3,0.75,0.7,0.05,8192,0.15256146302392357,0.8320905599999997,1.0,0.32,0.08847599993608062,0.0241316313169286,400
k4,4-sparse,4,0.75,0.7,0.05,8192,0.15256146302392357,0.8320905599999997,1.0,0.3325,0.0824945819040317,0.034145699686729626,400
k4,4-sparse,5,0.75,0.7,0.05,8192,0.15256146302392357,0.8320905599999997,1.0,0.3675,0.09413093269404442,0.015121286768322391,400
k4,4-sparse,6,0.75,0.7,0.05,8192,0.15256146302392357,0.8320905599999997,1.0,0.2925,0.07916619732086047,0.024200207032238723,400
k4,4-sparse,7,0.75,0.7,0.05,8192,0.15256146302392357,0.8320905599999997,1.0,0.3275,0.07768695258178403,0.03968138728167511,400
k4,4-sparse,8,0.75,0.7,0.05,8192,0.15256146302392357,0.8320905599999997,1.0,0.2925,0.09399668938118444,0.011760262251293344,400
k4,4-sparse,9,0.75,0.7,0.05,8192,0.15256146302392357,0.8320905599999997,1.0,0.445,0.07652009547050284,0.02068389715994238,400
k4,4-sparse,10,0.75,0.7,0.05,8192,0.15256146302392357,0.8320905599999997,1.0,0.345,0.08361968413202653,0.032895660276130015,400
k4,4-sparse,11,0.75,0.7,0.05,8192,0.15256146302392357,0.8320905599999997,1.0,0.305,0.07665249168504977,0.02620186918203122,400
k8,8-sparse,0,0.875,0.7,0.05,8192,0.15256146302392357,0.9707723199999997,1.0,0.395,0.09152833737515635,0.01716848490790815,400
k8,8-sparse,1,0.875,0.7,0.05,8192,0.15256146302392357,0.9707723199999997,1.0,0.46,0.08545620931667777,0.028197994059317496,400
k8,8-sparse,2,0.875,0.7,0.05,8192,0.15256146302392357,0.9707723199999997,1.0,0.415,0.08038043673751195,0.027487150849680692,400
k8,8-sparse,3,0.875,0.7,0.05,8192,0.15256146302392357,0.9707723199999997,1.0,0.4275,0.07894482787411983,0.025475411698499876,400
k8,8-sparse,4,0.875,0.7,0.05,8192,0.15256146302392357,0.9707723199999997,1.0,0.5,0.08239342183985274,0.0245185422670394,400
k8,8-sparse,5,0.875,0.7,0.05,8192,0.15256146302392357,0.9707723199999997,1.0,0.2625,0.08173113954749484,0.023398601691521564,400
k8,8-sparse,6,0.875,0.7,0.05,8192,0.15256146302392357,0.9707723199999997,1.0,0.345,0.08357242280726185,0.014292472939137863,400
k8,8-sparse,7,0.875,0.7,0.05,8192,0.15256146302392357,0.9707723199999997,1.0,0.3825,0.08757613439659767,0.017014812432900716,400
k8,8-sparse,8,0.875,0.7,0.05,8192,0.15256146302392357,0.9707723199999997,1.0,0.3975,0.08802774292695259,0.005931870810695694,400
