direction_kind,direction_label,direction_seed,geometry,amp,p,n,lambda_eff,labeled_power,unrestricted_cov_power,feature_independent_power,labeled_threshold,unrestricted_cov_threshold,feature_independent_threshold,trials
axis,axis,0,0.0,0.7,0.05,8192,0.15256146302392357,1.0,0.445,0.05,0.08254402619843534,0.01528663120167259,0.01608351392626377,400
k2,2-sparse,0,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,1.0,0.38,0.165,0.08333634128292973,0.02331537606878097,0.028308869726256666,400
k2,2-sparse,1,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,1.0,0.47,0.1925,0.08438535841776997,0.02894457972250147,0.028342470774071992,400
k2,2-sparse,2,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,1.0,0.475,0.17,0.0790132308629069,0.021472523545795437,0.021766285540284033,400
k2,2-sparse,3,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,1.0,0.4975,0.2,0.07790828385518588,0.021089428802457087,0.021281218095962656,400
k2,2-sparse,4,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,1.0,0.4775,0.2025,0.07117691786500756,0.01671842290726062,0.018040494508110037,400
k2,2-sparse,5,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,1.0,0.52,0.1725,0.073645008456931,0.02332231585288457,0.02445771157396537,400
k2,2-sparse,6,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,1.0,0.49,0.2,0.0819994834424877,0.012532478986062578,0.015137418942357289,400
k2,2-sparse,7,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,1.0,0.51,0.1925,0.09118875755153642,0.019544912122328693,0.026401405775690983,400
k2,2-sparse,8,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,1.0,0.4625,0.1875,0.07511872544800248,0.027695732425772043,0.02881186225010823,400
k2,2-sparse,9,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,1.0,0.385,0.1775,0.08443128990684666,0.030247930240305206,0.02685173022625278,400
k2,2-sparse,10,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,1.0,0.46,0.225,0.0776385088334609,0.024378957647780974,0.033252400373456635,400
k2,2-sparse,11,0.5000000000000002,0.7,0.05,8192,0.15256146302392357,1.0,0.47,0.19,0.07832400653664728,0.016979856676315214,0.01561021260407236,400
k4,4-sparse,0,0.75,0.7,0.05,8192,0.15256146302392357,1.0,0.495,0.3,0.08272053887651833,0.019242752845015344,0.0210835210624879,400
