event,tokens,train_tokens,test_tokens,firing_rate,train_pos,test_pos,geometry,lambda_eff,evidence_proxy,log10_evidence_proxy,label_stat,label_z,full_cov_stat,full_cov_z,offdiag_cov_stat,offdiag_cov_z
digit,10000,5000,5000,0.0339,190,149,0.9962214594706893,2.8135318705999337,78032.09405767046,4.892273261734044,15.546797752380371,7.765306988447409,10.94405460357666,6.727390420634563,9.943229675292969,6.734255186176952
punct,10000,5000,5000,0.1552,767,785,0.9958501858636737,4.201712404884668,387979.97729516774,5.588809313288535,11.603887557983398,6.147405101511975,21.43349266052246,19.584576711645443,20.42436408996582,19.583152552746135
comma_or_period,10000,5000,5000,0.0903,443,460,0.9961288580670953,4.183227885934982,381304.2364284238,5.581271630469754,14.59548568725586,5.890672304275662,22.03932762145996,20.251343498198842,21.028728485107422,20.24631338080642
quote,10000,5000,5000,0.0152,75,77,0.9953089179471135,2.0131593065027094,20435.274731781235,4.310380480740764,16.454410552978516,11.747017421106305,6.0084428787231445,2.0546370598578165,5.003330230712891,2.0568970893982743
capitalized,10000,5000,5000,0.164,800,840,0.9955626241862774,2.8786978688515026,85460.01051619045,4.931762941922825,7.774474143981934,7.337844168697389,13.632893562316895,9.18898432616184,12.624139785766602,9.187506843963206
common_the,10000,5000,5000,0.0569,294,275,0.9937763977795839,2.822851406086532,78877.06851705507,4.896950761586749,12.185770988464355,8.907289153044738,9.27947998046875,6.135280961234602,8.275493621826172,6.138585970839695
common_of,10000,5000,5000,0.0266,125,141,0.9953963430598378,2.0625510922268684,22517.74597956021,4.352524915591755,12.817939758300781,10.181561147396843,7.205965518951416,3.546831346010575,6.19779634475708,3.5461051632592575
common_and,10000,5000,5000,0.0246,133,113,0.9955713977105916,2.163161278730817,27248.21298869466,4.43533802534303,13.96464729309082,11.338354045530968,5.6039228439331055,1.6637190650706535,4.5987138748168945,1.6658538950285058
common_to,10000,5000,5000,0.0155,79,76,0.9953322876244783,1.4117972604605227,4942.736341979362,3.693967444715801,11.428747177124023,11.294713906879265,5.739278793334961,1.9033445876438326,4.732907295227051,1.903848814448851
common_in,10000,5000,5000,0.0205,101,104,0.9953656936995685,2.0743907140935365,23038.538220703016,4.362454919941184,14.638999938964844,10.872540764670667,6.787476539611816,2.806512368115114,5.7817301750183105,2.8078964341737587
hyphen_piece,10000,5000,5000,0.0241,117,124,0.996346783824265,3.0526811886343705,108154.93437380187,5.034046338129511,19.905370712280273,8.200215794093092,12.441563606262207,8.426447652927438,11.433476448059082,8.426298684774409
