"seed_id","mode","lambda","n_boundary","power_at_boundary"
"0","unlabeled","0.24","16870.800329213504","0.8328571428571429"
"0","unlabeled","0.28","9202.617790157978","0.8128571428571428"
"0","unlabeled","0.32","5529.230084749624","0.8071428571428572"
"0","unlabeled","0.37","2853.4313310233647","0.8428571428571429"
"0","unlabeled","0.43","1590.001361366395","0.8457142857142858"
"0","unlabeled","0.5","831.9116988962668","0.86"
"0","unlabeled","0.58","478.00884575382884","0.8257142857142857"
"0","unlabeled","0.68","260.20742085602507","0.8328571428571429"
"0","unlabeled","0.8","144.0","0.7914285714285715"
"0","labeled","0.24","277.29317536453914","0.96"
"0","labeled","0.28","178.8410035803224","0.8371428571428572"
"0","labeled","0.32","144.01036249195545","0.8114285714285714"
"0","labeled","0.37","112.97256998342577","0.9328571428571428"
"0","labeled","0.43","84.53712168972457","0.9257142857142857"
"0","labeled","0.5","57.60741651915979","0.82"
"0","labeled","0.58","47.108574894993176","0.9157142857142857"
"0","labeled","0.68","32.43688803433341","0.8471428571428572"
"0","labeled","0.8","32.0","0.9142857142857143"
"1","unlabeled","0.24","16271.164254932266","0.8514285714285714"
"1","unlabeled","0.28","9298.392954567353","0.8214285714285714"
"1","unlabeled","0.32","5252.982564363842","0.8314285714285714"
"1","unlabeled","0.37","3142.0","0.7985714285714286"
"1","unlabeled","0.43","1597.9464614106043","0.8428571428571429"
"1","unlabeled","0.5","871.4677973004073","0.8214285714285714"
"1","unlabeled","0.58","496.8862078774361","0.8214285714285714"
"1","unlabeled","0.68","265.5284836513955","0.8142857142857143"
"1","unlabeled","0.8","144.0","0.79"
"1","labeled","0.24","277.74737044702965","0.9328571428571428"
"1","labeled","0.28","187.60258078196765","0.8114285714285714"
"1","labeled","0.32","139.542623610298","0.8285714285714286"
"1","labeled","0.37","108.47313583871284","0.8071428571428572"
"1","labeled","0.43","86.73939357669661","0.9385714285714286"
"1","labeled","0.5","59.81750729607632","0.8014285714285714"
"1","labeled","0.58","47.59799624556512","0.9414285714285714"
"1","labeled","0.68","32.0","0.8042857142857143"
"1","labeled","0.8","32.0","0.9071428571428571"
"2","unlabeled","0.24","17368.328761137473","0.8128571428571428"
"2","unlabeled","0.28","8916.370090265526","0.8457142857142858"
"2","unlabeled","0.32","5022.441076292192","0.8614285714285714"
"2","unlabeled","0.37","2918.4208122390287","0.8428571428571429"
"2","unlabeled","0.43","1620.212558787607","0.8328571428571429"
"2","unlabeled","0.5","862.8271577541866","0.85"
"2","unlabeled","0.58","471.2971805803085","0.8485714285714285"
"2","unlabeled","0.68","257.702622960438","0.8314285714285714"
"2","unlabeled","0.8","144.0","0.7557142857142857"
"2","labeled","0.24","257.5489436138695","0.8042857142857143"
"2","labeled","0.28","182.60379537285047","0.83"
"2","labeled","0.32","146.64646597560932","0.8014285714285714"
"2","labeled","0.37","108.39152405260404","0.8085714285714286"
"2","labeled","0.43","80.82009830334073","0.8014285714285714"
"2","labeled","0.5","57.71017518261242","0.82"
"2","labeled","0.58","45.63109904929995","0.9514285714285714"
"2","labeled","0.68","32.0","0.8085714285714286"
"2","labeled","0.8","32.0","0.9071428571428571"
"3","unlabeled","0.24","15813.580092026486","0.8657142857142858"
"3","unlabeled","0.28","8767.342365854121","0.8414285714285714"
"3","unlabeled","0.32","5164.505694733602","0.8514285714285714"
"3","unlabeled","0.37","3122.700368603189","0.8028571428571428"
"3","unlabeled","0.43","1637.1830317804877","0.8171428571428572"
"3","unlabeled","0.5","933.9260012944986","0.8042857142857143"
"3","unlabeled","0.58","504.0124387264327","0.8214285714285714"
"3","unlabeled","0.68","271.8206418806172","0.8057142857142857"
"3","unlabeled","0.8","144.0","0.7828571428571428"
"3","labeled","0.24","268.05701021804845","0.9528571428571428"
"3","labeled","0.28","199.6666311492781","0.9371428571428572"
"3","labeled","0.32","145.76730526383184","0.8057142857142857"
"3","labeled","0.37","106.31821337453444","0.8171428571428572"
"3","labeled","0.43","89.9841500341586","0.9328571428571428"
"3","labeled","0.5","63.00645554874816","0.9171428571428571"
"3","labeled","0.58","47.50902654469516","0.9471428571428572"
"3","labeled","0.68","32.11382037637478","0.8328571428571429"
"3","labeled","0.8","32.0","0.9242857142857143"
"4","unlabeled","0.24","16254.534348946258","0.8414285714285714"
"4","unlabeled","0.28","8986.432109588693","0.84"
"4","unlabeled","0.32","5169.4930812654675","0.8442857142857143"
"4","unlabeled","0.37","3142.0","0.7971428571428572"
"4","unlabeled","0.43","1622.8002181110392","0.8371428571428572"
"4","unlabeled","0.5","880.8911663969743","0.8485714285714285"
"4","unlabeled","0.58","480.6741449837523","0.8314285714285714"
"4","unlabeled","0.68","272.5359466414718","0.8042857142857143"
"4","unlabeled","0.8","140.4965828376834","0.8114285714285714"
"4","labeled","0.24","265.90460590259465","0.94"
"4","labeled","0.28","195.92929322417348","0.9271428571428572"
"4","labeled","0.32","148.5463390029561","0.9514285714285714"
"4","labeled","0.37","112.74965113803393","0.9442857142857143"
"4","labeled","0.43","82.15154440766766","0.95"
"4","labeled","0.5","58.357034070534255","0.82"
"4","labeled","0.58","46.56542097768777","0.9457142857142857"
"4","labeled","0.68","32.6213893895526","0.8214285714285714"
"4","labeled","0.8","32.0","0.9028571428571428"
"5","unlabeled","0.24","17419.579406265806","0.8085714285714286"
"5","unlabeled","0.28","8906.388750523209","0.8357142857142857"
"5","unlabeled","0.32","5370.346402680493","0.8257142857142857"
"5","unlabeled","0.37","2939.2283899045233","0.8357142857142857"
"5","unlabeled","0.43","1697.3278748787918","0.8057142857142857"
"5","unlabeled","0.5","868.1053070438197","0.8314285714285714"
"5","unlabeled","0.58","480.044035545423","0.8328571428571429"
"5","unlabeled","0.68","264.9536665075315","0.8185714285714286"
"5","unlabeled","0.8","144.0","0.7642857142857142"
"5","labeled","0.24","277.6545174736972","0.9485714285714286"
"5","labeled","0.28","200.45935718512433","0.9342857142857143"
"5","labeled","0.32","156.31143398442214","0.9557142857142857"
"5","labeled","0.37","105.32023538648862","0.83"
"5","labeled","0.43","80.76676694509246","0.8014285714285714"
"5","labeled","0.5","64.45459353134339","0.9428571428571428"
"5","labeled","0.58","44.373915502382076","0.8042857142857143"
"5","labeled","0.68","32.0","0.8185714285714286"
"5","labeled","0.8","32.0","0.9185714285714286"
"6","unlabeled","0.24","16133.735179572635","0.8528571428571429"
"6","unlabeled","0.28","8993.266246750503","0.8342857142857143"
"6","unlabeled","0.32","5326.019746236823","0.8257142857142857"
"6","unlabeled","0.37","2954.040220653684","0.84"
"6","unlabeled","0.43","1590.2032930526302","0.8471428571428572"
"6","unlabeled","0.5","865.7394426963053","0.8528571428571429"
"6","unlabeled","0.58","466.31653241290417","0.8628571428571429"
"6","unlabeled","0.68","248.7067391822894","0.8585714285714285"
"6","unlabeled","0.8","144.0","0.76"
"6","labeled","0.24","281.6357502925426","0.9442857142857143"
"6","labeled","0.28","208.12008051336582","0.9542857142857143"
"6","labeled","0.32","164.02869182310823","0.9128571428571428"
"6","labeled","0.37","108.62735275413162","0.8057142857142857"
"6","labeled","0.43","76.48361171110986","0.8428571428571429"
"6","labeled","0.5","58.505025110210404","0.8157142857142857"
"6","labeled","0.58","42.68723979724859","0.8371428571428572"
"6","labeled","0.68","32.0","0.8285714285714286"
"6","labeled","0.8","32.0","0.9214285714285714"
"7","unlabeled","0.24","15807.014653026823","0.8685714285714285"
"7","unlabeled","0.28","9330.018722628334","0.8114285714285714"
"7","unlabeled","0.32","5201.031918948325","0.8257142857142857"
"7","unlabeled","0.37","2914.1939967051085","0.8414285714285714"
"7","unlabeled","0.43","1598.0006454418449","0.8414285714285714"
"7","unlabeled","0.5","884.692535638586","0.8414285714285714"
"7","unlabeled","0.58","488.9209453692369","0.8385714285714285"
"7","unlabeled","0.68","275.0","0.7914285714285715"
"7","unlabeled","0.8","144.0","0.7885714285714286"
"7","labeled","0.24","276.2244796617246","0.94"
"7","labeled","0.28","193.4829701906391","0.9385714285714286"
"7","labeled","0.32","146.2100522004366","0.8028571428571428"
"7","labeled","0.37","105.46905927477714","0.8271428571428572"
"7","labeled","0.43","80.21704821294995","0.8042857142857143"
"7","labeled","0.5","57.947809833400626","0.8242857142857143"
"7","labeled","0.58","43.66260414458257","0.8142857142857143"
"7","labeled","0.68","32.09173058186848","0.8557142857142858"
"7","labeled","0.8","32.0","0.8971428571428571"
